iter	Logloss
0	0.3429744361
1	0.2487858101
2	0.2161936504
3	0.1992832508
4	0.1885681939
5	0.1839459791
6	0.1798993541
7	0.1765911109
8	0.1750717889
9	0.173630148
10	0.1725722436
11	0.1715197252
12	0.1697795691
13	0.1689292176
14	0.1684090082
15	0.1676976007
16	0.1670463058
17	0.1660435994
18	0.1656228107
19	0.1650529694
20	0.164787469
21	0.1642610844
22	0.1636411728
23	0.1634438324
24	0.1629298691
25	0.1625255283
26	0.1621474482
27	0.1612418826
28	0.1609649245
29	0.1606624306
30	0.1603385147
31	0.1601426403
32	0.1598988658
33	0.1596087146
34	0.159117711
35	0.1586364614
36	0.1582787806
37	0.157944771
38	0.1576770157
39	0.1575463146
40	0.1571309725
41	0.1568846628
42	0.1566683392
43	0.1564766661
44	0.1563310528
45	0.156002426
46	0.155755068
47	0.1555665174
48	0.155409317
49	0.1552214978
50	0.1551463929
51	0.1549197066
52	0.1547420982
53	0.1545977828
54	0.1543364018
55	0.1541645666
56	0.1540183634
57	0.1538963914
58	0.1537811152
59	0.1536460501
60	0.1535973197
61	0.1532226423
62	0.1530455598
63	0.1529549183
64	0.1528770541
65	0.1528071505
66	0.1526941197
67	0.1525428358
68	0.1523945311
69	0.1522475667
70	0.1521487172
71	0.152031229
72	0.1519497745
73	0.1518998018
74	0.151822224
75	0.1517481827
76	0.1516494309
77	0.1515111294
78	0.1514324724
79	0.1513206526
80	0.1512751963
81	0.151194489
82	0.1511558836
83	0.1511095038
84	0.1510547777
85	0.1509701655
86	0.1508973661
87	0.1508090711
88	0.1507410757
89	0.1506046557
90	0.1505112124
91	0.1504332636
92	0.1502779849
93	0.1502173329
94	0.1501322271
95	0.1500570334
96	0.149853617
97	0.149711517
98	0.1496190646
99	0.1495437931
100	0.1494774212
101	0.1494363177
102	0.1493487334
103	0.1492773038
104	0.149213667
105	0.1491789844
106	0.14912108
107	0.1490530317
108	0.1489814088
109	0.1489181808
110	0.1488582254
111	0.1488147092
112	0.1487609826
113	0.1487147378
114	0.1486455238
115	0.1485844218
116	0.1485705778
117	0.1485044405
118	0.1484726805
119	0.148391788
120	0.1483826694
121	0.1483376569
122	0.1482658178
123	0.1482082146
124	0.1481423315
125	0.1480778221
126	0.1480534331
127	0.1479293889
128	0.1478717728
129	0.1478145859
130	0.1477173381
131	0.14766375
132	0.1476201792
133	0.1475859429
134	0.1475563001
135	0.1475068001
136	0.1474440636
137	0.1473704541
138	0.1473252934
139	0.1472685149
140	0.1471269854
141	0.1470613287
142	0.1469664544
143	0.1469256356
144	0.1468820487
145	0.1468448035
146	0.146742865
147	0.14669282
148	0.1466149782
149	0.1465473395
150	0.1465050308
151	0.1464559612
152	0.1463889084
153	0.146336343
154	0.1462641585
155	0.146228036
156	0.1461729435
157	0.1461362848
158	0.1460713836
159	0.146032703
160	0.1459353833
161	0.1458855904
162	0.1458223197
163	0.1457946411
164	0.1457736176
165	0.1457072659
166	0.1456747812
167	0.1456457421
168	0.1456015654
169	0.1455520707
170	0.1455452788
171	0.1455268501
172	0.1454866568
173	0.145384319
174	0.1453415161
175	0.1453016965
176	0.145257053
177	0.1452113097
178	0.1451625659
179	0.1451317858
180	0.1451104752
181	0.1450768163
182	0.1450126503
183	0.1449656963
184	0.1449251155
185	0.1448406303
186	0.1448051033
187	0.1447600371
188	0.1447205484
189	0.1447106032
190	0.1446645057
191	0.1446044903
192	0.1445451202
193	0.1444950764
194	0.1444470669
195	0.1444029508
196	0.1443421678
197	0.1442349142
198	0.1441709858
199	0.1441335431
200	0.1441019238
201	0.1440769291
202	0.1440587487
203	0.144045487
204	0.1440164933
205	0.1439462312
206	0.1439243705
207	0.1439011338
208	0.1438855705
209	0.1438829664
210	0.1438543962
211	0.1437747989
212	0.1437333442
213	0.1436946409
214	0.143651224
215	0.1436137991
216	0.1435646453
217	0.1435321927
218	0.1434893549
219	0.1434818483
220	0.1434700777
221	0.1434351946
222	0.1434087964
223	0.1434013409
224	0.1433697098
225	0.1433255144
226	0.1433173701
227	0.1432772614
228	0.1432008077
229	0.14315095
230	0.143139825
231	0.1430982588
232	0.1430775519
233	0.1430387488
234	0.1429650552
235	0.142885738
236	0.1428662521
237	0.1428228801
238	0.1427892277
239	0.1427501367
240	0.1427342123
241	0.1426996869
242	0.142657707
243	0.1426160072
244	0.1425881448
245	0.1425261451
246	0.1424804758
247	0.1424345773
248	0.1423928044
249	0.1423498825
250	0.1423166815
251	0.1422438163
252	0.1422071167
253	0.1421807755
254	0.1421329434
255	0.1420902154
256	0.1420627268
257	0.1420608128
258	0.1420324877
259	0.141977703
260	0.1419575725
261	0.1419181297
262	0.1418998061
263	0.1418813779
264	0.1418341303
265	0.1417997537
266	0.1417646789
267	0.1416508115
268	0.1416202967
269	0.1416112409
270	0.1415874375
271	0.1415339119
272	0.1415041062
273	0.1414740807
274	0.141441882
275	0.141425645
276	0.1413923565
277	0.1413697948
278	0.1413209291
279	0.1412861329
280	0.1412782963
281	0.1412351139
282	0.1412135651
283	0.1411862922
284	0.1411507128
285	0.1411210883
286	0.1411104321
287	0.141044537
288	0.1409966681
289	0.1409621483
290	0.1409162944
291	0.1408759193
292	0.140870799
293	0.1408502298
294	0.1408233697
295	0.1407871666
296	0.1407541754
297	0.1407048148
298	0.1406773741
299	0.140637173
300	0.1406055123
301	0.1405943432
302	0.1405537938
303	0.1405501429
304	0.1405339896
305	0.1404813695
306	0.1404174252
307	0.1403842064
308	0.1403504478
309	0.1403173058
310	0.1402846144
311	0.1402571604
312	0.1402540186
313	0.1402270928
314	0.1401971167
315	0.1401729415
316	0.1401526001
317	0.1400522397
318	0.140022292
319	0.1400023595
320	0.1399862811
321	0.1399424456
322	0.139925172
323	0.1398979715
324	0.1398916578
325	0.1398779393
326	0.1398492773
327	0.1397992643
328	0.1397629767
329	0.1396979366
330	0.1396752729
331	0.1396634636
332	0.1396452329
333	0.1396297641
334	0.1395875117
335	0.1395777856
336	0.1395368088
337	0.1395116781
338	0.1394895146
339	0.1394805949
340	0.1394561045
341	0.1394226035
342	0.1393966406
343	0.1393633852
344	0.1393264445
345	0.1393044468
346	0.1392606334
347	0.1392251774
348	0.1391823112
349	0.139147879
350	0.1391423599
351	0.1391356217
352	0.1390762584
353	0.1390446628
354	0.1390252748
355	0.1389950481
356	0.1389693662
357	0.1389375639
358	0.1389262547
359	0.13889134
360	0.1388432427
361	0.1388071436
362	0.1387769169
363	0.138745657
364	0.1387095143
365	0.1386722386
366	0.138640587
367	0.1386037054
368	0.1385780266
369	0.1384872375
370	0.1384544736
371	0.1384034515
372	0.1383653122
373	0.1383270909
374	0.1383134056
375	0.1382728977
376	0.1382450011
377	0.1382106208
378	0.1382018471
379	0.1381676664
380	0.1381338464
381	0.1380927882
382	0.1380319717
383	0.1379731361
384	0.1379540008
385	0.1379398786
386	0.1379251369
387	0.1378982222
388	0.1378575689
389	0.1378283599
390	0.1378037199
391	0.1377861937
392	0.1377737527
393	0.137770478
394	0.1377372303
395	0.1376874101
396	0.1376504143
397	0.1376158723
398	0.1376081071
399	0.1375743939
400	0.1375348767
401	0.1375203022
402	0.1374991181
403	0.1374714271
404	0.1374644108
405	0.1374105943
406	0.1373925746
407	0.1373592308
408	0.1373442341
409	0.137310382
410	0.1372792057
411	0.1372463076
412	0.1372228133
413	0.137184011
414	0.1371465626
415	0.1371120484
416	0.137074526
417	0.1370690855
418	0.1370457852
419	0.1370196813
420	0.1370064387
421	0.1369561045
422	0.1369119292
423	0.1368741821
424	0.1368640775
425	0.1368384659
426	0.1368162099
427	0.1367965784
428	0.1367642173
429	0.1367309386
430	0.136701073
431	0.1366537743
432	0.1366532749
433	0.1366294091
434	0.1366100046
435	0.1365996906
436	0.1365973603
437	0.1365580451
438	0.1365236151
439	0.136500645
440	0.1364995852
441	0.1364757921
442	0.1364377928
443	0.136403331
444	0.1363750718
445	0.1363548586
446	0.1363434284
447	0.136309066
448	0.1363041983
449	0.1362613841
450	0.1362409242
451	0.1362146508
452	0.1362125266
453	0.1361759302
454	0.1361465324
455	0.1361358543
456	0.1361157838
457	0.136089527
458	0.1360647289
459	0.1360323501
460	0.1360044901
461	0.1359829371
462	0.1359551895
463	0.1359422766
464	0.1359112915
465	0.135870917
466	0.135845167
467	0.1358097335
468	0.1357908121
469	0.1357583115
470	0.1357289425
471	0.1356971781
