iter	Passed	Remaining
0	297	148315
1	575	143176
2	802	133011
3	1065	132151
4	1316	130286
5	1591	131045
6	1813	127739
7	2044	125725
8	2266	123625
9	2495	122291
10	2763	122860
11	3053	124159
12	3296	123505
13	3517	122105
14	3752	121336
15	3961	119830
16	4183	118866
17	4368	116992
18	4591	116239
19	4778	114685
20	4985	113724
21	5221	113459
22	5445	112942
23	5660	112257
24	5903	112165
25	6124	111648
26	6510	114061
27	6870	115821
28	7157	116249
29	7459	116868
30	7751	117273
31	7973	116613
32	8224	116385
33	8543	117100
34	8782	116683
35	9013	116179
36	9232	115527
37	9538	115971
38	9935	117438
39	10181	117081
40	10428	116751
41	10744	117170
42	11048	117423
43	11278	116883
44	11494	116222
45	11726	115735
46	12021	115866
47	12291	115741
48	12509	115136
49	12734	114613
50	12935	113886
51	13241	114080
52	13636	115013
53	13845	114356
54	14066	113813
55	14296	113350
56	14619	113619
57	14868	113308
58	15068	112633
59	15295	112164
60	15509	111614
61	15811	111702
62	16121	111824
63	16351	111392
64	16663	111519
65	16890	111069
66	17112	110589
67	17340	110160
68	17585	109844
69	17815	109438
70	18023	108901
71	18251	108494
72	18491	108163
73	18730	107826
74	18962	107455
75	19166	106926
76	19388	106512
77	19582	105944
78	19789	105457
79	19991	104957
80	20186	104420
81	20405	104018
82	20624	103621
83	20840	103212
84	21112	103077
85	21455	103283
86	21835	103656
87	22072	103341
88	22361	103263
89	22635	103119
90	22853	102714
91	23162	102720
92	23412	102459
93	23636	102091
94	23904	101908
95	24142	101599
96	24366	101233
97	24661	101161
98	24921	100943
99	25168	100674
100	25407	100371
101	25613	99944
102	25864	99689
103	26135	99515
104	26485	99636
105	26706	99266
106	26942	98955
107	27230	98838
108	27518	98714
109	27727	98307
110	28002	98134
111	28227	97787
112	28444	97415
113	28691	97149
114	28912	96794
115	29123	96408
116	29339	96042
117	29507	95523
118	29702	95098
119	29912	94723
120	30118	94337
121	30313	93923
122	30529	93572
123	30872	93613
124	31086	93258
125	31295	92894
126	31598	92804
127	31883	92662
128	32215	92652
129	32433	92311
130	32658	91992
131	32867	91630
132	33111	91368
133	33321	91012
134	33557	90729
135	33775	90399
136	33997	90081
137	34208	89736
138	34418	89389
139	34659	89123
140	35024	89175
141	35272	88926
142	35499	88625
143	35700	88259
144	35914	87928
145	36141	87631
146	36361	87316
147	36618	87091
148	36966	87082
149	37260	86941
150	37467	86597
151	37671	86248
152	37899	85954
153	38125	85659
154	38341	85340
155	38569	85051
156	38801	84769
157	39024	84470
158	39231	84138
159	39465	83865
160	39668	83526
161	39874	83194
162	40099	82904
163	40302	82570
164	40514	82256
165	40728	81947
166	40959	81674
167	41263	81545
168	41474	81231
169	41693	80933
170	41912	80638
171	42110	80303
172	42340	80031
173	42555	79730
174	42753	79399
175	42979	79120
176	43179	78795
177	43384	78482
178	43614	78214
179	43857	77969
180	44207	77912
181	44570	77876
182	44869	77725
183	45082	77425
184	45328	77180
185	45599	76979
186	46061	77097
187	46316	76865
188	46539	76580
189	46811	76377
190	47197	76355
191	47510	76214
192	47860	76130
193	48139	75931
194	48388	75683
195	48640	75442
196	48885	75189
197	49100	74890
198	49309	74583
199	49535	74303
200	49749	74004
201	49948	73686
202	50185	73424
203	50416	73152
204	50648	72884
205	50861	72588
206	51081	72304
207	51306	72027
208	51496	71701
209	51695	71389
210	51906	71094
211	52111	70793
212	52367	70560
213	52660	70377
214	52946	70184
215	53180	69922
216	53441	69695
217	53659	69412
218	53889	69146
219	54107	68863
220	54335	68595
221	54562	68325
222	54800	68070
223	54996	67763
224	55229	67502
225	55450	67227
226	55674	66956
227	55888	66673
228	56109	66400
229	56327	66123
230	56539	65839
231	56758	65565
232	57084	65414
233	57384	65231
234	57625	64981
235	57845	64708
236	58116	64492
237	58493	64392
238	58736	64143
239	58972	63886
240	59191	63611
241	59408	63336
242	59594	63027
243	59799	62740
244	60017	62467
245	60249	62209
246	60479	61948
247	60710	61689
248	60938	61428
249	61154	61154
250	61378	60888
251	61677	60698
252	61965	60496
253	62231	60271
254	62476	60026
255	62691	59752
256	62946	59517
257	63334	59406
258	63707	59279
259	64056	59128
260	64336	58913
261	64599	58681
262	64875	58461
263	65105	58200
264	65368	57967
265	65623	57728
266	65841	57457
267	66084	57207
268	66364	56989
269	66601	56734
270	66876	56511
271	67107	56251
272	67296	55956
273	67509	55682
274	67720	55407
275	67961	55157
276	68174	54883
277	68416	54634
278	68657	54384
279	68879	54119
280	69109	53861
281	69352	53612
282	69571	53346
283	69809	53094
284	70045	52841
285	70297	52600
286	70551	52360
287	70765	52091
288	71009	51844
289	71203	51560
290	71434	51305
291	71687	51065
292	71917	50808
293	72172	50569
294	72397	50309
295	72616	50046
296	72831	49780
297	73071	49531
298	73299	49274
299	73516	49010
300	73725	48741
301	73961	48491
302	74182	48231
303	74390	47962
304	74604	47698
305	74836	47445
306	75083	47202
307	75312	46948
308	75550	46699
309	75801	46459
310	76056	46220
311	76287	45967
312	76528	45721
313	76748	45462
314	76980	45210
315	77227	44967
316	77466	44720
317	77697	44468
318	77939	44222
319	78191	43982
320	78425	43732
321	78645	43475
322	78896	43234
323	79113	42975
324	79357	42731
325	79575	42472
326	79809	42223
327	80059	41982
328	80288	41730
