iter	Passed	Remaining
0	268	133977
1	550	136970
2	794	131623
3	1067	132383
4	1315	130215
5	1565	128875
6	1828	128796
7	2075	127622
8	2330	127134
9	2580	126460
10	2817	125229
11	3058	124367
12	3318	124309
13	3568	123863
14	3807	123119
15	4004	121126
16	4248	120711
17	4526	121200
18	4779	120986
19	5028	120680
20	5266	120126
21	5492	119343
22	5726	118759
23	5974	118491
24	6193	117672
25	6451	117614
26	6706	117482
27	6962	117363
28	7196	116875
29	7434	116478
30	7657	115855
31	7870	115099
32	8107	114739
33	8351	114466
34	8607	114359
35	8830	113821
36	9067	113463
37	9264	112638
38	9522	112558
39	9745	112071
40	9994	111888
41	10246	111734
42	10491	111506
43	10731	111216
44	10971	110934
45	11221	110749
46	11463	110489
47	11697	110152
48	11944	109937
49	12218	109966
50	12480	109879
51	12720	109595
52	12958	109289
53	13205	109066
54	13465	108949
55	13712	108723
56	13961	108504
57	14201	108226
58	14457	108064
59	14696	107774
60	14965	107705
61	15206	107427
62	15478	107369
63	15725	107132
64	15995	107049
65	16238	106779
66	16484	106535
67	16755	106449
68	16993	106146
69	17257	106008
70	17497	105723
71	17754	105541
72	18022	105418
73	18295	105325
74	18559	105168
75	18809	104938
76	19067	104748
77	19306	104454
78	19584	104365
79	19854	104234
80	20097	103961
81	20350	103736
82	20606	103530
83	20855	103282
84	21106	103047
85	21375	102898
86	21626	102663
87	21894	102505
88	22150	102292
89	22418	102128
90	22660	101847
91	22901	101564
92	23129	101221
93	23399	101065
94	23661	100871
95	23933	100719
96	24199	100541
97	24458	100330
98	24704	100064
99	24955	99820
100	25230	99671
101	25471	99387
102	25713	99109
103	25979	98923
104	26250	98751
105	26509	98535
106	26757	98278
107	27019	98071
108	27290	97894
109	27527	97598
110	27792	97397
111	28040	97139
112	28295	96904
113	28570	96738
114	28826	96505
115	29096	96318
116	29361	96114
117	29597	95816
118	29862	95608
119	30103	95327
120	30369	95124
121	30636	94921
122	30880	94651
123	31127	94386
124	31391	94174
125	31647	93936
126	31898	93685
127	32149	93434
128	32417	93232
129	32686	93031
130	32919	92728
131	33172	92481
132	33447	92294
133	33684	92004
134	33933	91746
135	34168	91450
136	34406	91165
137	34658	90914
138	34912	90672
139	35181	90467
140	35445	90248
141	35690	89979
142	35964	89786
143	36225	89556
144	36482	89318
145	36757	89124
146	37009	88872
147	37267	88636
148	37517	88380
149	37769	88129
150	38037	87913
151	38304	87697
152	38573	87482
153	38835	87252
154	39074	86971
155	39310	86685
156	39558	86423
157	39833	86222
158	40107	86017
159	40363	85772
160	40635	85562
161	40908	85351
162	41170	85119
163	41417	84854
164	41687	84639
165	41938	84382
166	42203	84154
167	42485	83958
168	42744	83718
169	43016	83503
170	43271	83254
171	43526	83003
172	43782	82755
173	44025	82484
174	44272	82220
175	44549	82010
176	44814	81780
177	45064	81520
178	45350	81326
179	45608	81082
180	45856	80818
181	46145	80627
182	46409	80392
183	46636	80092
184	46915	79882
185	47180	79648
186	47398	79334
187	47644	79068
188	47894	78810
189	48154	78567
190	48391	78287
191	48665	78068
192	48936	77841
193	49181	77574
194	49443	77334
195	49686	77065
196	49944	76818
197	50214	76589
198	50469	76337
199	50710	76066
200	50949	75790
201	51183	75508
202	51460	75288
203	51755	75096
204	52030	74873
205	52365	74735
206	52644	74515
207	52896	74258
208	53148	74000
209	53396	73738
210	53645	73476
211	53911	73238
212	54170	72990
213	54427	72740
214	54683	72487
215	54934	72229
216	55192	71979
217	55447	71725
218	55692	71459
219	55952	71212
220	56207	70958
221	56469	70713
222	56727	70464
223	57071	70320
224	57422	70183
225	57809	70087
226	58131	69911
227	58377	69643
228	58642	69398
229	58895	69138
230	59125	68851
231	59380	68594
232	59627	68329
233	59883	68072
234	60134	67811
235	60399	67565
236	60651	67305
237	60912	67054
238	61189	66821
239	61446	66566
240	61696	66304
241	61937	66032
242	62188	65771
243	62421	65491
244	62680	65238
245	62950	64998
246	63230	64766
247	63507	64531
248	63781	64293
249	64016	64016
250	64241	63729
251	64506	63482
252	64770	63234
253	65037	62988
254	65305	62744
255	65564	62491
256	65836	62250
257	66103	62003
258	66371	61759
259	66600	61477
260	66864	61228
261	67132	60983
262	67391	60728
263	67677	60499
264	67944	60252
265	68212	60006
266	68477	59757
267	68739	59505
268	69009	59261
269	69272	59010
270	69529	58753
271	69772	58485
272	70079	58271
273	70468	58123
274	70772	57904
275	71048	57662
276	71313	57411
277	71577	57158
278	72013	57042
279	72397	56883
280	72770	56714
281	73029	56455
282	73281	56190
283	73556	55944
284	73805	55678
285	74063	55418
286	74332	55166
287	74607	54919
288	74866	54660
289	75129	54404
290	75408	54159
291	75669	53901
292	75947	53656
293	76219	53405
294	76490	53154
295	76742	52890
296	77020	52643
297	77291	52391
298	77512	52106
299	77735	51823
300	78015	51578
301	78271	51317
302	78519	51050
303	78804	50807
304	79074	50555
305	79334	50297
306	79616	50051
307	79897	49806
308	80141	49537
309	80407	49281
310	80677	49028
311	80939	48771
312	81211	48519
313	81494	48273
314	81765	48021
315	82094	47801
316	82423	47582
317	82708	47336
318	82989	47088
319	83333	46875
320	83685	46666
321	83971	46418
322	84244	46164
323	84518	45911
324	84778	45649
325	85047	45393
326	85317	45137
327	85597	44886
328	85855	44623
329	86096	44352
330	86368	44097
331	86634	43839
332	86895	43578
333	87136	43307
334	87419	43057
335	87693	42802
336	87943	42536
337	88174	42260
338	88456	42010
339	88719	41750
340	88974	41486
341	89246	41231
342	89494	40964
343	89760	40705
344	89989	40430
345	90227	40159
346	90490	39899
347	90762	39643
348	91024	39383
349	91302	39129
350	91571	38872
351	91809	38601
352	92313	38442
353	92563	38175
354	92797	37903
355	93026	37628
356	93263	37357
357	93521	37095
358	93781	36833
359	94017	36562
360	94294	36307
361	94570	36051
362	94840	35793
363	95081	35525
364	95346	35265
365	95610	35004
366	95869	34742
367	96143	34486
368	96417	34229
369	96679	33968
370	96960	33714
371	97206	33447
372	97481	33190
373	97742	32929
374	98008	32669
375	98291	32415
376	98549	32152
377	98815	31892
378	99080	31632
379	99340	31370
380	99616	31113
381	99874	30851
382	100138	30590
383	100373	30321
384	100640	30061
385	100897	29798
386	101170	29540
387	101477	29292
388	101728	29028
389	101995	28767
390	102269	28509
391	102533	28249
392	102801	27989
393	103075	27731
394	103352	27473
395	103630	27215
396	103886	26952
397	104133	26687
398	104392	26425
399	104637	26159
400	104876	25892
401	105125	25627
402	105408	25371
403	105675	25110
404	105922	24846
405	106214	24591
406	106485	24331
407	106741	24069
408	107005	23807
409	107269	23547
410	107516	23282
411	107769	23018
412	108039	22758
413	108329	22503
414	108727	22269
415	109077	22025
416	109356	21766
417	109645	21509
418	110014	21267
419	110360	21020
420	110653	20764
421	110960	20509
422	111323	20264
423	111567	19997
424	111829	19734
425	112085	19470
426	112367	19210
427	112622	18945
428	112869	18679
429	113144	18418
430	113409	18156
431	113685	17894
432	113976	17636
433	114238	17372
434	114490	17107
435	114737	16842
436	115010	16580
437	115273	16317
438	115540	16054
439	115792	15789
440	116057	15527
441	116314	15262
442	116584	15000
443	116845	14737
444	117098	14472
445	117366	14210
446	117621	13946
447	117889	13683
448	118147	13419
449	118483	13164
450	118872	12915
451	119160	12654
452	119433	12391
453	119718	12130
454	119985	11866
455	120249	11603
456	120494	11337
457	120748	11072
458	121028	10810
459	121313	10549
460	121571	10284
461	121857	10022
462	122102	9757
463	122376	9494
464	122652	9231
465	122906	8967
466	123143	8701
467	123389	8436
468	123668	8174
469	123935	7910
470	124202	7647
471	124437	7381
472	124670	7116
473	124938	6853
474	125220	6590
475	125478	6326
476	125770	6064
477	126018	5800
478	126282	5536
479	126528	5272
480	126792	5008
481	127040	4744
482	127296	4480
483	127554	4216
484	127808	3952
485	128062	3689
486	128351	3426
487	128623	3162
488	128882	2899
489	129125	2635
490	129378	2371
491	129657	2108
492	129907	1844
493	130151	1580
494	130404	1317
495	130652	1053
496	130934	790
497	131204	526
498	131476	263
499	131741	0
